labelMaterialsString,spectrum
HDPE,"[54406, 54428, 54691, 55153, 55762, 56460, 57199, 57939, 58659, 59352, 60022, 60677, 61322, 61955, 62560, 63110, 63574, 63920, 64126, 64187, 64121, 63967, 63783, 63632, 63575, 63654, 63884, 64243, 64677, 65102, 65420, 65535, 65369, 64877, 64058, 62949, 61625, 60177, 58697, 57252, 55867, 54516, 53117, 51544, 49645, 47267, 44288, 40644, 36347, 31496, 26272, 20921, 15728, 10978, 6923, 3749, 1554, 336, 0, 373, 1235, 2351, 3503, 4522, 5306, 5826, 6124, 6295, 6461, 6749, 7260, 8053, 9134, 10450, 11905, 13372, 14714, 15811, 16573, 16955, 16966, 16661, 16136, 15508, 14903, 14437, 14201, 14255, 14624, 15299, 16247, 17421, 18766, 20232, 21781, 23387, 25040, 26738, 28485, 30284, 32130, 34009, 35893, 37747, 39525, 41180, 42670, 43962, 45038, 45897, 46558, 47056, 47441, 47771, 48107, 48504, 49010, 49655, 50450, 51386, 52434, 53544, 54655, 55694, 56588, 57269, 57677, 57771]"
HDPE,"[54952, 54750, 54800, 55070, 55520, 56106, 56788, 57533, 58315, 59120, 59934, 60747, 61543, 62299, 62984, 63565, 64008, 64288, 64396, 64344, 64166, 63917, 63666, 63482, 63423, 63527, 63796, 64197, 64666, 65111, 65432, 65535, 65350, 64845, 64028, 62952, 61697, 60359, 59024, 57752, 56553, 55382, 54140, 52685, 50850, 48478, 45446, 41694, 37248, 32221, 26809, 21278, 15923, 11043, 6895, 3670, 1464, 274, 0, 464, 1443, 2696, 4001, 5185, 6143, 6841, 7315, 7654, 7976, 8401, 9027, 9912, 11061, 12425, 13913, 15402, 16765, 17884, 18674, 19093, 19146, 18887, 18403, 17806, 17217, 16746, 16482, 16488, 16794, 17399, 18282, 19405, 20724, 22199, 23796, 25490, 27269, 29123, 31048, 33034, 35066, 37118, 39153, 41127, 42991, 44695, 46197, 47467, 48488, 49266, 49822, 50197, 50445, 50630, 50817, 51066, 51428, 51937, 52606, 53427, 54368, 55378, 56389, 57323, 58100, 58643, 58888, 58787]"
HDPE,"[49936, 49856, 50364, 51354, 52686, 54203, 55761, 57235, 58540, 59635, 60514, 61205, 61754, 62208, 62607, 62974, 63314, 63614, 63855, 64019, 64097, 64099, 64052, 63997, 63980, 64042, 64207, 64473, 64806, 65148, 65419, 65535, 65421, 65030, 64347, 63396, 62235, 60943, 59603, 58277, 56994, 55730, 54412, 52915, 51089, 48778, 45853, 42237, 37931, 33026, 27696, 22189, 16797, 11822, 7534, 4141, 1761, 410, 0, 360, 1264, 2462, 3723, 4859, 5756, 6377, 6762, 7010, 7254, 7632, 8257, 9197, 10456, 11980, 13657, 15345, 16889, 18148, 19019, 19450, 19450, 19084, 18460, 17715, 16992, 16423, 16111, 16118, 16469, 17150, 18118, 19317, 20687, 22177, 23751, 25391, 27095, 28867, 30716, 32641, 34629, 36650, 38657, 40592, 42392, 43998, 45367, 46474, 47320, 47932, 48358, 48663, 48916, 49187, 49530, 49986, 50569, 51273, 52071, 52920, 53767, 54555, 55228, 55739, 56046, 56119, 55936, 55485]"
LDPE,"[51005, 50214, 49345, 48517, 47877, 47574, 47725, 48397, 49589, 51228, 53182, 55282, 57345, 59207, 60742, 61885, 62632, 63037, 63194, 63219, 63223, 63296, 63490, 63811, 64229, 64683, 65098, 65401, 65535, 65468, 65195, 64736, 64124, 63396, 62583, 61699, 60738, 59677, 58475, 57084, 55458, 53553, 51338, 48795, 45917, 42706, 39176, 35351, 31268, 26984, 22581, 18168, 13886, 9899, 6386, 3519, 1445, 262, 0, 606, 1949, 3830, 5998, 8194, 10178, 11765, 12854, 13440, 13609, 13524, 13390, 13416, 13775, 14571, 15815, 17426, 19237, 21029, 22571, 23656, 24145, 23988, 23239, 22042, 20614, 19199, 18037, 17317, 17154, 17570, 18502, 19818, 21344, 22907, 24365, 25631, 26691, 27599, 28459, 29404, 30558, 32008, 33787, 35855, 38111, 40405, 42564, 44425, 45864, 46813, 47275, 47320, 47075, 46695, 46341, 46155, 46236, 46629, 47327, 48272, 49372, 50518, 51600, 52519, 53197, 53581, 53636, 53342]"
LDPE,"[48410, 47068, 45481, 43835, 42367, 41323, 40916, 41287, 42485, 44451, 47036, 50018, 53143, 56154, 58835, 61031, 62663, 63729, 64293, 64464, 64371, 64142, 63884, 63675, 63559, 63553, 63649, 63833, 64082, 64375, 64692, 65006, 65283, 65478, 65535, 65387, 64969, 64228, 63127, 61659, 59847, 57737, 55388, 52859, 50193, 47401, 44462, 41322, 37912, 34168, 30057, 25603, 20900, 16123, 11511, 7345, 3910, 1451, 131, 0, 979, 2868, 5368, 8130, 10801, 13087, 14793, 15849, 16322, 16388, 16300, 16329, 16713, 17605, 19042, 20934, 23083, 25218, 27048, 28316, 28850, 28599, 27639, 26166, 24454, 22814, 21531, 20820, 20791, 21435, 22636, 24201, 25902, 27531, 28934, 30048, 30903, 31614, 32346, 33278, 34551, 36238, 38316, 40669, 43105, 45388, 47286, 48612, 49264, 49244, 48657, 47693, 46595, 45608, 44943, 44740, 45043, 45805, 46899, 48148, 49362, 50373, 51061, 51368, 51297, 50898, 50242, 49397]"
LDPE,"[49854, 48883, 47705, 46495, 45471, 44850, 44813, 45460, 46796, 48723, 51060, 53565, 55985, 58089, 59710, 60765, 61267, 61312, 61062, 60703, 60419, 60353, 60586, 61129, 61926, 62868, 63821, 64650, 65244, 65535, 65504, 65180, 64626, 63925, 63156, 62381, 61630, 60899, 60148, 59310, 58303, 57040, 55440, 53435, 50979, 48044, 44626, 40744, 36444, 31802, 26923, 21950, 17057, 12440, 8308, 4862, 2267, 634, 0, 310, 1428, 3140, 5187, 7295, 9218, 10770, 11853, 12471, 12723, 12781, 12857, 13157, 13842, 14993, 16590, 18515, 20566, 22497, 24058, 25045, 25334, 24910, 23871, 22408, 20782, 19271, 18128, 17539, 17595, 18281, 19488, 21039, 22727, 24360, 25793, 26961, 27879, 28641, 29388, 30279, 31447, 32974, 34866, 37047, 39375, 41667, 43730, 45403, 46583, 47245, 47443, 47302, 46987, 46677, 46527, 46642, 47060, 47754, 48637, 49585, 50468, 51170, 51614, 51770, 51653, 51312, 50812, 50209]"
LDPE,"[36346, 35451, 34803, 34508, 34686, 35447, 36856, 38910, 41527, 44551, 47770, 50946, 53853, 56308, 58202, 59510, 60292, 60674, 60824, 60914, 61092, 61452, 62023, 62769, 63601, 64400, 65045, 65441, 65535, 65326, 64864, 64234, 63535, 62854, 62246, 61719, 61228, 60683, 59963, 58936, 57486, 55526, 53020, 49975, 46450, 42533, 38334, 33966, 29536, 25136, 20848, 16745, 12900, 9392, 6311, 3751, 1804, 541, 0, 165, 964, 2266, 3894, 5643, 7312, 8732, 9793, 10459, 10776, 10857, 10865, 10974, 11337, 12053, 13146, 14553, 16137, 17709, 19062, 20010, 20425, 20258, 19556, 18452, 17140, 15845, 14782, 14119, 13951, 14285, 15048, 16102, 17282, 18424, 19406, 20169, 20727, 21165, 21616, 22230, 23145, 24448, 26158, 28216, 30492, 32805, 34955, 36759, 38077, 38845, 39073, 38851, 38326, 37677, 37082, 36694, 36614, 36880, 37469, 38305, 39278, 40260, 41132, 41790, 42158, 42189, 41857, 41150]"
LDPE,"[52560, 51117, 49508, 47909, 46542, 45630, 45353, 45815, 47018, 48862, 51160, 53669, 56132, 58318, 60059, 61275, 61977, 62260, 62274, 62194, 62178, 62342, 62734, 63330, 64044, 64743, 65284, 65535, 65406, 64866, 63944, 62723, 61321, 59870, 58489, 57263, 56231, 55382, 54658, 53969, 53209, 52270, 51058, 49502, 47554, 45192, 42412, 39224, 35654, 31741, 27544, 23151, 18681, 14289, 10160, 6497, 3504, 1354, 170, 0, 796, 2423, 4663, 7240, 9862, 12258, 14215, 15609, 16422, 16736, 16719, 16585, 16557, 16823, 17501, 18612, 20083, 21754, 23407, 24813, 25766, 26123, 25834, 24949, 23607, 22019, 20429, 19074, 18149, 17780, 18008, 18794, 20030, 21570, 23258, 24958, 26575, 28069, 29452, 30774, 32107, 33518, 35050, 36709, 38455, 40211, 41878, 43351, 44545, 45410, 45943, 46192, 46247, 46229, 46264, 46469, 46929, 47687, 48738, 50029, 51471, 52949, 54334, 55503, 56343, 56760, 56684, 56068]"
PMMA,"[64437, 64844, 65036, 65064, 64989, 64879, 64791, 64764, 64810, 64912, 65027, 65090, 65028, 64769, 64252, 63445, 62342, 60971, 59389, 57672, 55905, 54170, 52532, 51027, 49658, 48389, 47152, 45855, 44391, 42655, 40562, 38052, 35110, 31762, 28081, 24179, 20196, 16287, 12606, 9290, 6445, 4138, 2390, 1178, 440, 83, 0, 81, 230, 371, 463, 495, 491, 500, 585, 816, 1257, 1954, 2928, 4176, 5669, 7356, 9171, 11045, 12914, 14723, 16435, 18031, 19512, 20891, 22193, 23444, 24674, 25905, 27156, 28440, 29764, 31135, 32560, 34046, 35598, 37221, 38913, 40665, 42453, 44244, 45989, 47635, 49128, 50419, 51477, 52291, 52876, 53273, 53544, 53761, 53996, 54307, 54726, 55252, 55843, 56423, 56889, 57125, 57020, 56488, 55481, 54005, 52122, 49949, 47648, 45407, 43424, 41880, 40926, 40662, 41129, 42311, 44133, 46476, 49190, 52106, 55055, 57879, 60438, 62619, 64337, 65535]"
PMMA,"[60651, 60898, 60960, 60886, 60741, 60589, 60486, 60467, 60541, 60684, 60848, 60964, 60952, 60738, 60266, 59504, 58455, 57155, 55671, 54089, 52502, 50996, 49634, 48446, 47421, 46507, 45617, 44636, 43438, 41903, 39932, 37467, 34493, 31051, 27231, 23168, 19025, 14982, 11213, 7871, 5074, 2892, 1346, 406, 0, 23, 354, 872, 1463, 2043, 2555, 2982, 3336, 3661, 4016, 4471, 5089, 5925, 7010, 8353, 9937, 11725, 13664, 15692, 17746, 19767, 21711, 23543, 25248, 26823, 28278, 29635, 30920, 32163, 33397, 34653, 35962, 37352, 38845, 40460, 42206, 44080, 46067, 48138, 50247, 52337, 54343, 56198, 57841, 59226, 60330, 61152, 61724, 62098, 62345, 62546, 62772, 63080, 63494, 64004, 64560, 65076, 65441, 65535, 65239, 64464, 63157, 61317, 59002, 56323, 53438, 50536, 47820, 45484, 43697, 42582, 42210, 42592, 43681, 45379, 47548, 50024, 52630, 55191, 57546, 59556, 61112, 62138]"
PMMA,"[61510, 61839, 62000, 62038, 62008, 61968, 61968, 62038, 62185, 62387, 62597, 62751, 62773, 62592, 62151, 61419, 60395, 59111, 57629, 56033, 54414, 52859, 51438, 50186, 49103, 48145, 47230, 46247, 45068, 43568, 41640, 39211, 36256, 32803, 28935, 24782, 20511, 16306, 12352, 8814, 5822, 3455, 1740, 648, 105, 0, 202, 580, 1017, 1424, 1747, 1973, 2128, 2265, 2456, 2781, 3311, 4099, 5174, 6535, 8155, 9984, 11958, 14009, 16070, 18086, 20016, 21839, 23545, 25143, 26647, 28078, 29456, 30803, 32137, 33478, 34843, 36254, 37732, 39300, 40977, 42776, 44700, 46734, 48845, 50984, 53085, 55075, 56880, 58438, 59707, 60674, 61357, 61804, 62089, 62297, 62515, 62810, 63220, 63746, 64341, 64918, 65360, 65535, 65311, 64586, 63296, 61437, 59065, 56299, 53309, 50298, 47486, 45081, 43263, 42161, 41847, 42327, 43545, 45391, 47716, 50346, 53096, 55786, 58252, 60359, 61997, 63095]"
PVC,"[1418, 175, 0, 878, 2775, 5624, 9312, 13681, 18521, 23582, 28595, 33291, 37427, 40819, 43353, 45005, 45839, 45996, 45674, 45098, 44492, 44043, 43882, 44066, 44574, 45321, 46170, 46965, 47555, 47823, 47703, 47197, 46368, 45331, 44237, 43244, 42495, 42093, 42088, 42470, 43174, 44088, 45079, 46007, 46753, 47234, 47414, 47309, 46981, 46528, 46068, 45722, 45598, 45777, 46307, 47199, 48429, 49948, 51686, 53562, 55496, 57410, 59235, 60910, 62384, 63615, 64567, 65212, 65535, 65528, 65200, 64574, 63690, 62599, 61361, 60038, 58686, 57351, 56060, 54821, 53623, 52438, 51233, 49972, 48627, 47183, 45646, 44036, 42389, 40749, 39159, 37654, 36256, 34970, 33786, 32679, 31624, 30597, 29586, 28595, 27645, 26770, 26013, 25409, 24982, 24731, 24627, 24610, 24600, 24505, 24238, 23732, 22954, 21918, 20682, 19345, 18035, 16882, 16002, 15471, 15308, 15465, 15825, 16218, 16435, 16261, 15499, 14000]"
PVC,"[664, 0, 604, 2373, 5155, 8762, 12976, 17567, 22299, 26951, 31321, 35246, 38603, 41318, 43365, 44763, 45570, 45874, 45785, 45418, 44888, 44301, 43744, 43286, 42969, 42816, 42825, 42978, 43240, 43566, 43905, 44203, 44416, 44505, 44452, 44256, 43939, 43544, 43131, 42772, 42539, 42493, 42677, 43104, 43757, 44581, 45501, 46422, 47251, 47909, 48349, 48567, 48603, 48540, 48497, 48605, 48988, 49746, 50928, 52528, 54476, 56649, 58884, 61001, 62832, 64242, 65148, 65535, 65448, 64990, 64297, 63514, 62773, 62165, 61731, 61451, 61255, 61035, 60667, 60038, 59065, 57714, 56007, 54018, 51862, 49672, 47581, 45696, 44079, 42742, 41646, 40710, 39828, 38892, 37817, 36549, 35086, 33473, 31795, 30161, 28685, 27460, 26547, 25952, 25634, 25500, 25429, 25283, 24936, 24290, 23297, 21963, 20352, 18576, 16779, 15120, 13744, 12766, 12255, 12217, 12599, 13289, 14126, 14920, 15471, 15585, 15099, 13894]"
PVC,"[544, 0, 1110, 3646, 7301, 11723, 16560, 21487, 26237, 30617, 34509, 37862, 40674, 42979, 44821, 46245, 47289, 47984, 48359, 48452, 48317, 48027, 47671, 47351, 47163, 47183, 47450, 47960, 48659, 49451, 50216, 50827, 51175, 51194, 50871, 50256, 49451, 48596, 47846, 47337, 47169, 47379, 47942, 48766, 49719, 50645, 51399, 51873, 52016, 51849, 51457, 50977, 50576, 50419, 50641, 51323, 52479, 54053, 55929, 57951, 59948, 61762, 63268, 64391, 65114, 65470, 65535, 65401, 65167, 64914, 64692, 64522, 64387, 64250, 64057, 63755, 63302, 62670, 61855, 60867, 59731, 58478, 57136, 55729, 54273, 52778, 51250, 49698, 48134, 46579, 45061, 43610, 42254, 41013, 39897, 38899, 37998, 37162, 36357, 35549, 34717, 33852, 32961, 32059, 31170, 30312, 29493, 28704, 27920, 27101, 26204, 25191, 24045, 22777, 21434, 20096, 18862, 17843, 17134, 16795, 16832, 17189, 17743, 18315, 18690, 18642, 17968, 16512]"
PA6,"[161, 0, 284, 1024, 2224, 3877, 5955, 8400, 11130, 14033, 16982, 19847, 22505, 24863, 26864, 28502, 29816, 30892, 31849, 32819, 33929, 35284, 36946, 38927, 41184, 43627, 46132, 48559, 50772, 52658, 54146, 55211, 55874, 56194, 56251, 56128, 55888, 55560, 55126, 54524, 53652, 52390, 50619, 48249, 45243, 41630, 37515, 33076, 28542, 24176, 20237, 16953, 14489, 12930, 12269, 12414, 13201, 14421, 15849, 17278, 18543, 19545, 20253, 20705, 20997, 21257, 21622, 22214, 23119, 24376, 25969, 27837, 29882, 31987, 34036, 35932, 37604, 39020, 40184, 41128, 41907, 42580, 43208, 43837, 44498, 45207, 45965, 46771, 47620, 48515, 49471, 50507, 51651, 52927, 54350, 55916, 57598, 59341, 61062, 62659, 64015, 65010, 65535, 65497, 64834, 63516, 61546, 58963, 55834, 52250, 48314, 44141, 39845, 35535, 31313, 27267, 23470, 19977, 16828, 14041, 11620, 9550, 7804, 6344, 5128, 4113, 3259, 2540]"
PA6,"[185, 0, 433, 1452, 3001, 5010, 7387, 10029, 12818, 15634, 18364, 20908, 23191, 25171, 26840, 28228, 29396, 30430, 31425, 32477, 33664, 35041, 36626, 38403, 40322, 42310, 44278, 46136, 47808, 49240, 50404, 51302, 51957, 52410, 52700, 52856, 52888, 52774, 52467, 51891, 50959, 49586, 47704, 45281, 42329, 38917, 35166, 31241, 27339, 23662, 20404, 17720, 15718, 14441, 13869, 13922, 14475, 15378, 16472, 17615, 18700, 19661, 20481, 21189, 21847, 22540, 23355, 24366, 25620, 27131, 28874, 30792, 32801, 34806, 36711, 38434, 39915, 41125, 42064, 42762, 43267, 43643, 43957, 44271, 44638, 45096, 45669, 46369, 47200, 48160, 49246, 50453, 51780, 53221, 54766, 56396, 58079, 59765, 61389, 62871, 64120, 65039, 65535, 65526, 64950, 63769, 61976, 59594, 56676, 53300, 49565, 45581, 41464, 37323, 33262, 29366, 25704, 22324, 19254, 16504, 14067, 11927, 10057, 8426, 7004, 5760, 4672, 3722]"
PA6,"[116, 0, 602, 1860, 3681, 5951, 8539, 11304, 14107, 16821, 19338, 21579, 23499, 25093, 26390, 27452, 28365, 29225, 30130, 31160, 32375, 33802, 35432, 37225, 39115, 41018, 42846, 44520, 45978, 47182, 48122, 48815, 49297, 49612, 49803, 49898, 49908, 49813, 49569, 49113, 48369, 47264, 45739, 43767, 41355, 38556, 35464, 32209, 28945, 25834, 23031, 20666, 18833, 17579, 16905, 16765, 17079, 17739, 18631, 19642, 20681, 21680, 22604, 23450, 24242, 25022, 25842, 26753, 27793, 28987, 30333, 31811, 33383, 34995, 36591, 38113, 39515, 40763, 41840, 42747, 43498, 44123, 44657, 45139, 45609, 46104, 46653, 47283, 48011, 48854, 49820, 50916, 52144, 53499, 54968, 56530, 58149, 59775, 61347, 62789, 64017, 64940, 65472, 65535, 65063, 64017, 62378, 60161, 57405, 54176, 50564, 46672, 42611, 38494, 34425, 30497, 26785, 23345, 20211, 17397, 14903, 12710, 10793, 9120, 7658, 6376, 5248, 4254]"
